,Day,Mask(Chi),Mask(Eng),Immigration(Chi),Health(Chi),Hiking(Chi),China(Eng),China(Chi),HongKong(Chi)
142,20200522,10,4,1,2,0,6,7,44
143,20200523,7,4,1,2,1,3,5,44
144,20200524,7,3,1,1,1,4,5,48
145,20200525,8,6,1,2,1,5,7,42
146,20200526,7,4,1,1,0,6,6,41
147,20200527,7,4,1,2,0,6,6,41
148,20200528,9,3,1,1,0,6,7,44
149,20200529,11,4,1,1,1,6,7,40
150,20200530,7,3,1,1,0,4,6,46
151,20200531,10,4,1,1,1,5,5,49
152,20200601,8,4,2,2,1,6,7,44
153,20200602,8,4,3,1,1,6,7,44
154,20200603,10,4,2,2,0,6,6,46
155,20200604,8,6,1,2,1,6,6,41
156,20200605,9,5,1,2,0,5,7,40
157,20200606,8,3,1,1,1,3,6,42
158,20200607,8,3,1,1,0,3,6,45
159,20200608,8,4,1,2,0,5,6,42
160,20200609,10,3,1,2,0,5,6,41
161,20200610,7,3,1,2,0,5,6,42
162,20200611,8,3,1,3,1,6,5,38
163,20200612,8,3,1,3,1,5,5,42
164,20200613,8,3,1,2,0,3,6,47
165,20200614,7,3,1,2,1,3,5,44
166,20200615,8,3,1,3,0,5,7,39
167,20200616,7,3,2,3,1,6,6,40
168,20200617,6,3,1,2,0,6,6,40
169,20200618,7,3,1,2,0,6,7,40
170,20200619,7,3,1,2,1,6,6,41
171,20200620,7,3,1,2,1,4,8,47
172,20200621,6,3,1,2,1,5,17,52
173,20200622,7,3,1,2,1,7,9,42
174,20200623,6,2,1,4,0,5,9,41
175,20200624,7,3,2,3,1,5,7,41
176,20200625,8,3,1,2,0,4,6,44
177,20200626,8,3,1,3,1,5,7,43
178,20200627,7,3,2,2,1,3,5,46
179,20200628,6,3,1,3,1,3,5,45
180,20200629,6,3,2,3,1,5,7,44
181,20200630,6,3,2,3,1,5,7,49
